"reddperc" "presperc" "statperc" "reddreal" "presreal"
0.563 0.048 0.695 0.247 -1.17
0.873 0.501 1.115 0.689 -1.16
-0.343 0.428 0.571 -0.465 -0.244
1.265 -0.021 0.289 1.617 -1.076
0.188 0.404 0.969 1.893 -0.143
-0.758 1.002 -0.218 -0.94 -0.432
1.134 0.534 0.267 0.324 0.168
-0.192 -0.168 -0.086 1.697 2.262
0.603 1.598 0.946 -0.599 -0.764
0.185 -0.55 -0.064 0.496 -0.287
-0.664 -0.003 -0.429 -0.688 -1.22
-0.399 0.698 0.913 1.062 0.538
0.083 0.331 0.927 -0.449 -0.252
-0.14 0.363 -0.08 0.89 -0.543
1.073 0.87 0.952 0.559 -0.335
0.247 -0.096 0.157 0.015 -0.103
1.176 -0.154 0.981 2.195 0.216
-0.685 -0.999 0.496 1.575 0.355
0.141 -0.158 -0.35 -0.161 -0.232
0.756 -0.59 -0.153 1.754 0.928
-0.34 -0.893 -0.173 0 0.839
0.019 0.932 0.18 0.262 1.873
0.007 -0.826 1.072 0.562 -0.417
0.119 -0.3 0.217 0.109 1.863
-0.47 -0.218 -0.802 0.291 0.446
-1.084 -0.105 0.126 -0.411 -0.952
0.186 -0.098 0.821 -1.068 0.993
-0.969 -0.313 -0.431 0.761 1.523
0.317 0.742 0.913 -0.502 -0.208
0.811 -0.464 0.361 1.631 -0.941
-0.601 -0.629 -0.097 0.653 0.258
1.099 0.605 1.353 -0.494 1.468
0.244 -0.209 -0.055 1.392 0.153
-0.145 0.29 0.1 -1.174 0.348
0.534 -0.937 -1.02 -0.12 0.11
-1.677 -1.802 -0.771 0.619 0.86
0.573 0.511 0.163 0.928 -1.454
0.338 0.146 -0.229 0.863 0.189
-0.335 -0.138 0.516 -1.5 -0.976
0.487 0.678 0.171 -0.824 -0.532
-0.987 -0.065 -0.098 -2.979 0.627
-0.11 -0.798 -0.061 -0.206 -0.35
-0.26 -0.661 -1.207 1.351 -1.148
0.127 -0.055 0.252 0.588 -0.022
0.878 0.409 0.21 1.36 1.385
-0.158 -0.252 -0.033 -0.539 -0.381
-0.722 -0.407 -0.38 -0.655 0.057
-0.388 -0.878 -0.333 -0.19 0.203
-0.731 -0.782 -1.036 -1.017 1.086
-0.396 0.828 -0.624 -0.529 1.036
-0.099 -0.704 -0.67 0.611 2.82
0.06 -0.712 0.027 -1.236 -0.831
0.173 -0.069 0.237 0.328 0.972
0.001 -0.685 -0.303 -0.29 0.684
-0.752 -1.107 -0.772 0.88 -2.546
0.636 0.671 1.082 -0.604 -0.482
1.534 0.095 0.582 0.642 0.897
-0.289 0.263 0.305 0.26 -1.859
-0.076 -0.053 -0.272 0.064 -0.012
-0.253 -0.301 -0.171 1.456 -0.011
0.324 0.233 -0.108 0.165 0.942
0.32 -0.83 0.225 1.053 0.215
0.208 0.973 0.7 1.008 0.166
-0.473 -0.589 -0.525 -0.045 -0.114
0.267 -0.709 -0.011 2.141 0.394
-0.084 0.588 0.38 2.064 1.496
-0.803 0.409 -0.161 -1.129 0.023
-0.16 0.645 0.171 -1.162 -0.189
-0.448 -0.583 0.115 1.489 -0.954
0.701 0.153 1.081 -0.473 0.29
1.195 0.132 0.608 0.541 1.251
-1.048 -1.007 -1.498 -1 -1.337
-0.107 0.173 1.125 0.388 -1.681
-0.823 -0.783 -0.404 -1.083 1.284
0.221 1.13 1.067 2.04 -0.485
0.702 -0.731 -0.218 0.067 -1.218
-0.064 0.151 0.084 0.283 -0.316
0.293 0.399 0.247 0.51 1.049
-0.078 0.025 -0.823 -2.205 1.591
0.164 -0.098 -0.36 -1.811 -0.32
0.137 -1.08 0.32 2.006 -0.514
0.832 0.668 0.578 -0.765 0.186
0.269 0.148 -0.704 -2.11 -0.227
-0.7 -0.853 -0.858 -1.663 0.217
0.454 0.505 -0.157 0.193 1.577
-1.011 -0.326 -0.952 0.489 0.394
0.149 0.369 -0.011 0.061 -0.084
1.432 -0.323 0.549 -0.833 -0.072
-0.578 0.172 0.101 -1.875 0.247
-0.819 -0.167 0.014 0.022 -0.586
0.803 0.547 -0.088 -1.322 1.985
-0.344 -0.05 -0.016 0.799 1.133
-0.223 -0.332 -0.145 0.302 -1.069
-0.065 -0.659 -0.484 -0.504 0.465
0.585 0.401 0.269 -0.061 -0.089
-0.983 0.228 -0.172 -1.281 -1.908
-0.748 -1.099 -0.323 -0.637 1.293
1.172 0.767 0.404 0.299 2.101
-0.377 0.319 -0.708 -0.127 2.222
-0.188 -0.54 0.298 1.737 -0.304
0.327 1.286 0.369 -0.005 -0.773
0.843 0.662 0.776 1.183 1.617
0.374 0.663 -0.05 -0.709 1.215
0.574 0.205 -0.019 0.207 -0.575
-0.225 -0.286 0.453 -0.322 0.425
0.441 0.443 0.237 0.855 -0.502
0.136 -0.662 -0.638 0.978 0.169
-1.027 -0.694 -1.235 0.008 1.035
-0.387 -0.006 -0.255 -0.793 -0.316
-0.793 1.172 0.699 -2.22 0.196
0.225 0.252 1.173 -0.491 2.097
-0.116 -0.045 0.185 0.352 -0.47
1.799 0.553 0.182 1.454 0.085
0.837 0.89 0.832 1.259 2.343
-0.088 -0.087 0.434 0.418 1.072
0.294 0.116 -0.859 -1.61 1.06
0.955 1.215 0.704 -1.28 1.099
-0.573 0.479 -0.135 -0.42 1.532
-1.773 -0.903 -1.211 -2.236 0.076
0.926 -0.258 -0.474 0.206 1.007
-0.298 -0.569 -0.23 -0.195 -0.403
-0.017 -0.932 -0.232 0.362 0.852
-0.544 -1.505 0.139 0.263 0.833
0.738 0.792 0.614 -1.154 -1.28
0.165 1.045 0.447 1.833 1.871
0.531 0.584 0.43 0.243 -1.038
0.755 0.151 -0.062 0.228 -0.955
-0.093 0.193 0.676 0.864 -1.165
-0.481 -0.091 -0.37 0.365 -0.648
-0.25 0.262 -0.115 0.238 -0.102
-0.473 0.413 -0.299 0.356 0.361
-0.662 -0.564 0.834 0.463 -2.114
-0.44 0.056 0.247 1.646 -0.197
1.517 0.137 -0.472 -0.554 0.163
0.17 -0.156 -0.26 0.366 -0.54
-0.491 -0.661 -0.328 -1.486 2.228
1.477 0.701 0.197 -0.698 0.593
-0.053 -0.002 -0.565 0.305 1.462
-0.215 0.09 -0.644 0.148 -0.357
0.795 0.801 0.491 0.483 -0.353
-1.088 -0.599 -0.165 -0.027 -0.612
0.167 -0.442 -0.785 -0.577 -0.304
-0.385 -1.02 -0.512 -0.329 -1.389
-0.313 -0.445 -0.424 0.465 -0.384
-0.496 -0.763 -1.08 -1.452 -0.668
-0.766 -0.721 -0.305 0.962 -0.673
0.758 -0.339 -0.021 0.764 0.107
0.863 0.632 0.346 1.289 -1.444
0.184 -0.151 0.271 -1.535 -0.333
0.79 -0.099 0.053 0.656 1.3
-0.031 -0.162 -0.451 0.908 0.87
-1.712 -0.488 -1.584 -1.129 -0.785
0.666 0.562 0.401 1.017 -0.592
-0.545 -0.156 -0.224 -0.45 -0.22
1.537 -0.144 -0.108 0.514 -0.978
-0.249 0.668 -0.178 0.746 0.962
0.119 0.101 0.636 1.081 0.972
0.135 -0.957 -1.03 1.007 -0.05
-0.354 -0.154 0.524 -0.565 -0.532
0.19 0.195 0.717 -0.145 -0.42
-0.124 -0.457 -0.18 -0.396 1.173
0.426 -0.016 -0.771 -0.216 -0.843
0.265 1.496 0.047 0.393 1.439
-0.162 -0.016 0.136 -1.126 0.591
-0.466 -0.351 0.05 -0.317 -0.308
-0.046 -0.105 -0.103 2.319 1.675
0.886 1.02 0.108 1.965 1.094
-0.214 0.493 0.258 -0.382 -0.637
-0.847 0.222 -0.075 -0.022 0.111
0.877 -0.221 0.382 -0.647 0.723
1.009 -0.577 0.075 0.303 -0.136
1.338 0.856 -0.269 0.362 0.484
0.649 0.018 0.143 0.5 -0.747
0.424 0.955 0.917 -1.833 -0.546
-0.068 0.287 -0.048 0.252 -0.038
0.631 0.007 0.499 1.177 -0.835
0.447 -0.151 0.139 -0.176 1.38
0.341 -0.498 -0.308 -1.171 -0.919
-0.042 0.38 -0.203 -0.171 -1.051
-0.335 -0.076 -0.761 -0.963 -1.002
-0.259 -0.179 0.905 -0.458 0.126
-0.652 -0.07 0.074 -0.422 -1.047
-0.327 -1.192 -1.427 0.904 0.813
0.598 -0.783 -0.694 -0.416 1.179
-0.923 0.325 -0.377 0.464 -0.746
0.275 -0.65 -0.463 0.235 -1.653
0.889 0.033 0.246 -0.707 -0.51
0.745 0.638 0.191 1.788 0.917
-0.091 -0.481 0.495 0.997 -0.532
-0.222 -0.15 0.683 -0.609 -1.044
0.399 1.367 1.091 -0.219 -1.359
-0.085 0.222 0.168 0.032 -0.304
-0.227 0.769 0.146 -0.971 0.616
-0.284 0.012 -0.099 1.717 -0.145
0.476 -0.28 0.358 0.161 -2.867
0.045 -0.604 -0.166 0.874 -0.655
0.147 0.477 -0.013 -0.926 -0.819
0.324 -0.338 0.127 -0.002 -0.664
-0.281 -0.168 -1.2 -0.358 -0.052
1.048 0.993 0.677 2.211 1.484
0.052 1.029 0.866 2.643 -1.288
-0.64 -0.691 -0.69 0.3 -1.024
-0.267 0.824 -0.041 0.935 0.416
0.376 0.047 0.501 -0.2 -1.141
0.447 1.303 0.282 -0.322 1.27
-0.399 0.079 -0.26 1.516 -0.999
0.061 0.12 0.423 -1.102 0.57
-0.236 -0.721 -0.109 0.094 -0.516
0.297 -0.513 -0.514 0.412 1.296
-1.033 -0.152 -0.683 -0.707 1.325
0.342 -0.209 0.067 0.194 -0.746
0.937 0.35 0.383 0.686 0.091
0.119 0.573 0.302 -0.027 0.825
0.374 -0.045 0.702 0.461 -1.291
-0.976 0.549 -0.651 0.548 0.142
0.111 -0.286 0.507 -1.037 -1.219
0.751 0.301 -0.037 0.285 -0.07
0.224 -1.039 -0.615 0.107 1.496
0.183 0.792 1.391 -0.913 1.167
-0.571 -0.411 -0.784 -1.212 1.02
-0.19 -0.423 -0.718 -0.791 -0.94
0.392 0.179 0.577 -1.1 1.031
0.341 0.292 -0.17 -0.832 -0.669
0.092 0.661 -0.234 -0.083 2.103
-0.745 -0.149 -0.692 1.159 2.409
-0.297 -0.247 -0.826 -1.215 -1.049
-0.303 0.023 -0.815 0.015 0.969
-0.187 0.083 0.105 0.131 -1.473
0.655 0.422 -0.207 -0.273 -0.176
-0.035 -0.092 -0.029 0.253 -2.297
-0.518 -0.005 -0.805 -0.989 0.007
0.185 0.278 0.572 2.038 0.004
1.296 1.02 1.829 -0.076 0.424
-0.964 0.185 -0.249 0.4 -0.222
1.031 -0.194 0.766 1.632 0.49
0.044 -0.071 -0.233 -0.695 0.692
-0.221 0.155 0.012 1.135 -2.029
-1.046 -0.386 -0.583 -0.881 2.165
0.381 -0.233 0.682 0.382 -0.186
0.012 -0.939 -0.955 0.413 -0.66
-0.053 -0.369 -0.013 1.025 0.213
0.281 -0.208 -0.401 1.164 0.638
0.15 0.66 1.776 -0.169 0.108
-0.857 1.079 -0.17 -0.281 -0.845
0.003 0.228 0.55 -1.145 -0.585
0.542 -0.835 0.302 0.009 0.605
-0.988 0.209 -0.778 -1.054 1.028
0.382 0.325 -0.197 -0.392 0.008
0.501 -0.611 0.528 0.326 -0.312
-0.118 -0.274 -0.888 0.578 -0.586
1.093 -0.193 0.206 2.033 0.03
-0.271 -0.581 -0.338 -0.698 -0.455
1.903 0.473 -0.078 0.046 -0.347
-0.554 -0.164 -0.992 0.507 1.658
-0.002 -0.47 -0.419 0.038 0.152
0.789 0.464 0.379 0.603 -2.235
0.61 0.444 0.194 1.837 -2.234
-1.973 -0.481 -0.607 0.952 -1.255
-0.247 0.323 0.076 0.522 0.605
1.557 2.061 1.708 1.728 0.654
-0.17 0.12 0.404 1.405 2.083
-0.399 0.141 -0.544 0.735 -1.337
-0.664 -0.215 -0.207 -0.188 0.516
0.304 -0.191 -0.012 0.655 -0.514
0.427 -0.236 -0.555 0.144 -0.32
0.558 0.237 0.56 0.883 -1.224
0.033 0.568 -0.421 0.76 -0.663
0.419 0.842 0.166 -1.854 1.163
-0.308 0.279 -0.63 0.755 -1.917
0.081 -0.445 0.379 0.411 0.05
0.253 0.398 0.114 0.26 -0.328
0.685 1.07 0.811 2.369 1.287
0.208 0.043 0.228 -0.132 0.171
0.46 -0.057 -0.223 2.542 -0.759
0.537 -0.067 -0.107 0.716 1.15
0.579 0.217 0.658 0.385 -0.842
-0.304 -0.48 -0.275 -0.528 -1.167
-0.04 -0.426 -0.352 0.299 0.017
-0.122 -0.227 0.428 0.909 -1.25
-0.328 -0.759 -0.799 -1.049 -0.042
-1.344 0.068 -0.329 -0.693 0.41
-0.094 -0.098 0.656 -1.577 -1.226
-0.055 -0.7 -0.064 -0.294 -1.356
0.22 -0.345 -0.718 1.062 0.508
-0.305 -0.288 0.04 0.879 -0.884
-0.551 0.47 0.222 -0.078 -0.886
0.876 0.978 1.141 0.978 1.21
-0.479 -0.796 -1.541 1.349 0.807
0.459 0.048 1.397 -0.325 1.38
-1.123 -0.383 -1.196 -0.942 -1.35
-0.213 0.821 -1.101 -0.431 -0.015
-0.981 -0.204 -0.754 -0.745 0.128
-0.717 0.172 -0.272 0.865 -0.226
0.449 0.126 0.865 -0.427 -0.249
-0.197 -0.142 0.055 -0.052 -0.739
-0.377 -0.177 0.641 0.537 -1.44
-0.325 -0.836 -0.524 -0.806 -0.511
-0.739 0.165 -0.621 -1.57 1.56
0.111 0.67 0.169 -0.189 -0.46
0.059 -0.696 -0.136 0.488 0.786
1.017 0.56 0.931 0.12 2.05
-0.003 -0.552 -1.096 0.496 -0.377
0.441 -0.08 -0.141 -0.106 0.402
0.764 -1.04 0.039 -0.265 1.065
-0.893 -0.641 -0.329 -0.467 0.117
-0.649 -0.963 -1.196 1.091 -0.188
-1.392 -0.029 -0.565 0.16 -0.172
-1.499 -0.73 0.201 -0.233 -0.15
-0.729 -0.087 0.079 -3.828 -1.211
0.26 0.301 0.67 0.391 -0.844
-1.167 0.143 -1.284 0.074 -1.045
-1.096 -0.464 -0.77 -0.491 0.281
-0.626 -0.595 -0.899 -0.575 -0.227
0.239 0.689 0.85 -0.449 -0.84
-0.427 -0.82 0.057 -0.965 1.509
0.25 0.081 -0.373 2.134 -0.421
-0.093 -0.451 -0.465 -0.043 -0.457
-0.068 0.305 0.775 -1.319 -0.542
0.005 -0.233 -0.533 1.648 -0.4
0.84 -0.693 0.381 2.027 -0.569
-0.416 0.047 0.526 -0.522 -0.763
0.129 -0.857 -0.499 1.072 0.271
-0.087 0.909 -0.517 -1.33 -0.52
-0.245 -0.246 -0.471 0.523 -1.629
-0.728 -0.141 0.101 1.785 0.666
0.44 0.421 1.03 -0.151 0.853
-1.504 -1.636 -0.874 -0.465 2.147
0.857 1.467 0.651 -0.893 -1.65
-0.547 -0.347 0.394 2.024 0.707
1.837 1.659 0.741 1.313 0.319
0.304 0.817 0.448 0.569 0.334
-0.333 0.035 -0.184 -1.415 2.385
-1.088 0.426 -0.408 0.005 -0.371
0.178 -0.777 -0.465 -0.141 0.296
0.603 0.33 0.135 -0.915 0.805
0.24 0.157 -0.629 -0.532 0.509
